NO_OF_FRAMES	8444
NO_OF_CAMERAS	8
NO_OF_MARKERS	1
FREQUENCY	150
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-01-10, 12:21:36.594	1963.39651480
DATA_INCLUDED	3D
MARKER_NAMES	marker
Frame	Time	marker X	marker Y	marker Z	
536	3.56667	549.535	71.523	26.825
537	3.57333	549.845	71.577	27.780
538	3.58000	549.615	71.551	29.784
539	3.58667	549.395	71.937	31.478
540	3.59333	549.347	72.273	33.225
541	3.60000	549.145	72.761	35.356
542	3.60667	549.076	72.955	37.510
543	3.61333	548.980	73.308	39.854
544	3.62000	548.627	74.002	42.459
545	3.62667	548.431	74.225	45.299
546	3.63333	548.451	75.106	47.980
547	3.64000	548.002	75.542	51.305
548	3.64667	548.224	76.074	54.460
549	3.65333	547.740	76.667	58.342
550	3.66000	547.626	77.693	62.157
551	3.66667	547.319	78.370	66.804
552	3.67333	547.230	79.486	71.448
553	3.68000	547.152	80.613	76.385
554	3.68667	546.895	81.399	81.954
555	3.69333	546.935	82.452	87.620
556	3.70000	546.699	83.683	94.128
557	3.70667	546.677	84.495	100.218
558	3.71333	546.370	85.223	106.809
559	3.72000	546.326	85.898	113.769
560	3.72667	546.267	86.801	120.665
561	3.73333	546.076	87.739	127.778
562	3.74000	545.981	88.342	135.226
563	3.74667	545.920	89.057	143.014
564	3.75333	545.686	89.593	150.871
565	3.76000	545.782	90.426	158.919
566	3.76667	545.639	90.883	167.285
567	3.77333	545.651	91.645	175.817
568	3.78000	545.757	91.868	184.607
569	3.78667	545.742	92.548	193.444
570	3.79333	546.090	92.542	202.415
571	3.80000	546.257	92.964	211.631
572	3.80667	546.663	93.034	220.873
573	3.81333	546.886	93.241	230.250
574	3.82000	547.157	93.129	239.583
575	3.82667	547.603	92.693	248.896
576	3.83333	548.025	92.493	258.114
577	3.84000	548.428	91.872	267.429
578	3.84667	548.844	91.284	276.562
579	3.85333	549.264	90.407	285.759
580	3.86000	549.963	89.386	294.417
581	3.86667	550.439	88.618	303.260
582	3.87333	550.761	87.433	311.825
583	3.88000	551.386	86.124	320.229
584	3.88667	551.902	84.891	328.330
585	3.89333	552.463	83.439	336.209
586	3.90000	553.077	82.041	343.839
587	3.90667	553.640	80.539	351.067
588	3.91333	554.508	79.035	358.131
589	3.92000	554.933	77.789	364.827
590	3.92667	555.496	76.149	371.351
591	3.93333	556.297	74.642	377.124
592	3.94000	556.853	72.981	382.821
593	3.94667	557.277	71.549	387.971
594	3.95333	558.087	69.825	392.576
595	3.96000	558.392	68.844	396.789
596	3.96667	558.996	67.324	400.495
597	3.97333	559.483	65.849	403.740
598	3.98000	559.780	64.637	406.609
599	3.98667	560.148	63.842	408.915
600	3.99333	560.590	62.750	410.792
601	4.00000	560.859	62.066	412.128
602	4.00667	561.102	61.268	413.234
603	4.01333	561.294	60.766	413.675
604	4.02000	561.427	60.350	413.583
605	4.02667	561.521	60.089	412.984
606	4.03333	561.650	59.858	411.807
607	4.04000	561.465	60.205	410.145
608	4.04667	561.330	60.360	407.922
609	4.05333	561.214	60.879	404.902
610	4.06000	560.939	61.362	401.467
611	4.06667	560.765	61.904	397.419
612	4.07333	560.243	62.567	392.852
613	4.08000	559.929	63.299	387.591
614	4.08667	559.431	63.942	381.705
615	4.09333	558.868	64.688	375.299
616	4.10000	558.351	65.864	368.194
617	4.10667	557.585	66.953	360.711
618	4.11333	556.845	67.952	352.400
619	4.12000	555.992	69.203	343.913
620	4.12667	555.288	70.177	334.611
621	4.13333	554.279	71.277	325.015
622	4.14000	553.558	72.289	314.864
623	4.14667	552.611	73.293	304.509
624	4.15333	551.923	74.128	293.611
625	4.16000	551.063	74.753	282.187
626	4.16667	550.086	75.571	270.646
627	4.17333	549.147	75.991	258.748
628	4.18000	548.266	75.879	246.712
629	4.18667	547.632	76.041	234.503
630	4.19333	546.823	75.829	221.989
631	4.20000	546.147	75.392	209.554
632	4.20667	545.582	74.848	197.096
633	4.21333	545.026	74.310	184.758
634	4.22000	544.505	73.502	172.782
635	4.22667	543.937	72.543	160.972
636	4.23333	543.735	71.343	149.474
637	4.24000	543.548	69.927	138.298
638	4.24667	543.345	68.840	127.766
639	4.25333	543.223	67.472	117.585
640	4.26000	542.864	65.880	108.025
641	4.26667	542.720	64.435	99.178
642	4.27333	542.508	62.899	90.851
643	4.28000	542.231	61.787	83.326
644	4.28667	542.734	60.030	76.072
645	4.29333	542.212	58.778	70.300
646	4.30000	542.134	57.461	65.108
647	4.30667	542.164	56.632	60.296
648	4.31333	541.987	55.049	56.625
649	4.32000	541.896	54.276	53.680
650	4.32667	541.720	53.953	51.523
651	4.33333	541.045	53.658	50.734
652	4.34000	540.723	53.412	50.554
653	4.34667	540.221	53.325	51.205
654	4.35333	539.883	53.242	52.611
655	4.36000	539.120	53.968	55.294
656	4.36667	538.974	54.439	58.227
657	4.37333	538.494	55.241	62.362
658	4.38000	537.989	56.416	67.265
659	4.38667	537.522	57.836	73.015
660	4.39333	536.946	59.624	79.255
661	4.40000	536.905	61.080	86.198
662	4.40667	536.488	62.941	94.115
663	4.41333	536.280	64.539	102.385
664	4.42000	536.007	66.232	111.377
665	4.42667	535.856	68.223	120.855
666	4.43333	535.767	69.980	131.115
667	4.44000	535.539	71.756	141.605
