NO_OF_FRAMES	9217
NO_OF_CAMERAS	8
NO_OF_MARKERS	3
FREQUENCY	150
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-01-16, 10:54:23.294	2216.09629770
DATA_INCLUDED	3D
MARKER_NAMES	marker1		
Frame	Time	marker1 X	marker1 Y	marker1 Z	 X	 Y	 Z	 X	 Y	 Z	
245	1.62667	966.388	290.075	84.112	0.000	0.000	0.000	0.000	0.000	0.000
246	1.63333	966.414	290.087	84.095	0.000	0.000	0.000	0.000	0.000	0.000
247	1.64000	966.391	290.090	84.101	0.000	0.000	0.000	0.000	0.000	0.000
248	1.64667	966.425	290.086	84.140	0.000	0.000	0.000	0.000	0.000	0.000
249	1.65333	966.408	290.086	84.192	0.000	0.000	0.000	0.000	0.000	0.000
250	1.66000	966.384	290.077	84.178	0.000	0.000	0.000	0.000	0.000	0.000
251	1.66667	966.395	290.087	84.199	0.000	0.000	0.000	0.000	0.000	0.000
252	1.67333	966.378	290.090	84.219	0.000	0.000	0.000	0.000	0.000	0.000
253	1.68000	966.338	290.075	84.179	0.000	0.000	0.000	0.000	0.000	0.000
254	1.68667	966.331	290.065	84.148	0.000	0.000	0.000	0.000	0.000	0.000
255	1.69333	966.336	290.079	84.182	0.000	0.000	0.000	0.000	0.000	0.000
256	1.70000	966.298	290.080	84.205	0.000	0.000	0.000	0.000	0.000	0.000
257	1.70667	966.257	290.093	84.177	0.000	0.000	0.000	0.000	0.000	0.000
258	1.71333	966.239	290.082	84.173	0.000	0.000	0.000	0.000	0.000	0.000
259	1.72000	966.227	290.083	84.210	0.000	0.000	0.000	0.000	0.000	0.000
260	1.72667	966.172	290.090	84.166	0.000	0.000	0.000	0.000	0.000	0.000
261	1.73333	966.177	290.056	84.200	0.000	0.000	0.000	0.000	0.000	0.000
262	1.74000	966.133	290.072	84.190	0.000	0.000	0.000	0.000	0.000	0.000
263	1.74667	966.104	290.083	84.200	0.000	0.000	0.000	0.000	0.000	0.000
264	1.75333	966.065	290.078	84.216	0.000	0.000	0.000	0.000	0.000	0.000
265	1.76000	966.023	290.048	84.204	0.000	0.000	0.000	0.000	0.000	0.000
266	1.76667	965.965	290.071	84.201	0.000	0.000	0.000	0.000	0.000	0.000
